"title","Rank","score"
"1","肖申克的救赎","1","9.7"
"2","霸王别姬","2","9.6"
"3","阿甘正传","3","9.5"
"4","这个杀手不太冷","4","9.4"
"5","美丽人生","5","9.5"
"6","泰坦尼克号","6","9.4"
"7","千与千寻","7","9.3"
"8","辛德勒的名单","8","9.5"
"9","盗梦空间","9","9.3"
"10","忠犬八公的故事","10","9.3"
"11","海上钢琴师","11","9.3"
"12","机器人总动员","12","9.3"
"13","三傻大闹宝莱坞","13","9.2"
"14","楚门的世界","14","9.3"
"15","放牛班的春天","15","9.3"
"16","星际穿越","16","9.3"
"17","大话西游之大圣娶亲","17","9.2"
"18","龙猫","18","9.2"
"19","熔炉","19","9.3"
"20","无间道","20","9.2"
"21","教父","21","9.3"
"22","疯狂动物城","22","9.2"
"23","当幸福来敲门","23","9.1"
"24","怦然心动","24","9.0"
"25","触不可及","25","9.2"
"26","蝙蝠侠：黑暗骑士","26","9.2"
"27","活着","27","9.2"
"28","控方证人","28","9.6"
"29","乱世佳人","29","9.3"
"30","少年派的奇幻漂流","30","9.0"
"31","摔跤吧！爸爸","31","9.0"
"32","指环王3：王者无敌","32","9.2"
"33","飞屋环游记","33","9.0"
"34","鬼子来了","34","9.2"
"35","十二怒汉","35","9.4"
"36","天空之城","36","9.1"
"37","寻梦环游记","37","9.1"
"38","天堂电影院","38","9.2"
"39","末代皇帝","39","9.2"
"40","大话西游之月光宝盒","40","9.0"
"41","哈尔的移动城堡","41","9.0"
"42","罗马假日","42","9.0"
"43","搏击俱乐部","43","9.0"
"44","闻香识女人","44","9.0"
"45","素媛","45","9.2"
"46","辩护人","46","9.2"
"47","何以为家","47","9.1"
"48","窃听风暴","48","9.1"
"49","死亡诗社","49","9.1"
"50","教父2","50","9.2"
"51","两杆大烟枪","51","9.1"
"52","指环王2：双塔奇兵","52","9.1"
"53","飞越疯人院","53","9.1"
"54","狮子王","54","9.0"
"55","指环王1：魔戒再现","55","9.0"
"56","V字仇杀队","56","8.9"
"57","美丽心灵","57","9.0"
"58","饮食男女","58","9.1"
"59","大闹天宫","59","9.3"
"60","哈利·波特与魔法石","60","8.9"
"61","钢琴家","61","9.1"
"62","海豚湾","62","9.3"
"63","本杰明·巴顿奇事","63","8.9"
"64","黑客帝国","64","9.0"
"65","情书","65","8.9"
"66","看不见的客人","66","8.8"
"67","让子弹飞","67","8.8"
"68","西西里的美丽传说","68","8.8"
"69","猫鼠游戏","69","8.9"
"70","小鞋子","70","9.2"
"71","拯救大兵瑞恩","71","9.0"
"72","美国往事","72","9.2"
"73","我不是药神","73","9.0"
"74","音乐之声","74","9.0"
"75","致命魔术","75","8.8"
"76","七宗罪","76","8.8"
"77","低俗小说","77","8.8"
"78","穿条纹睡衣的男孩","78","9.1"
"79","被嫌弃的松子的一生","79","8.9"
"80","沉默的羔羊","80","8.8"
"81","蝴蝶效应","81","8.8"
"82","春光乍泄","82","8.9"
"83","心灵捕手","83","8.9"
"84","禁闭岛","84","8.8"
"85","勇敢的心","85","8.9"
"86","布达佩斯大饭店","86","8.8"
"87","剪刀手爱德华","87","8.7"
"88","天使爱美丽","88","8.7"
"89","阿凡达","89","8.7"
"90","摩登时代","90","9.3"
"91","加勒比海盗","91","8.7"
"92","致命ID","92","8.8"
"93","幽灵公主","93","8.9"
"94","断背山","94","8.8"
"95","入殓师","95","8.8"
"96","喜剧之王","96","8.7"
"97","阳光灿烂的日子","97","8.8"
"98","重庆森林","98","8.7"
"99","狩猎","99","9.1"
"100","第六感","100","8.8"
"101","海蒂和爷爷","101","9.2"
"102","杀人回忆","102","8.8"
"103","玛丽和马克思","103","8.9"
"104","消失的爱人","104","8.7"
"105","小森林 夏秋篇","105","9.0"
"106","请以你的名字呼唤我","106","8.8"
"107","告白","107","8.7"
"108","一一","108","9.0"
"109","大鱼","109","8.8"
"110","爱在黎明破晓前","110","8.8"
"111","红辣椒","111","9.0"
"112","阳光姐妹淘","112","8.8"
"113","侧耳倾听","113","8.9"
"114","射雕英雄传之东成西就","114","8.7"
"115","7号房的礼物","115","8.8"
"116","甜蜜蜜","116","8.8"
"117","超脱","117","8.9"
"118","倩女幽魂","118","8.7"
"119","哈利·波特与死亡圣器(下)","119","8.8"
"120","小森林 冬春篇","120","9.0"
"121","驯龙高手","121","8.7"
"122","蝙蝠侠：黑暗骑士崛起","122","8.7"
"123","菊次郎的夏天","123","8.8"
"124","恐怖直播","124","8.8"
"125","爱在日落黄昏时","125","8.8"
"126","唐伯虎点秋香","126","8.6"
"127","萤火之森","127","8.8"
"128","幸福终点站","128","8.8"
"129","超能陆战队","129","8.6"
"130","风之谷","130","8.8"
"131","借东西的小人阿莉埃蒂","131","8.8"
"132","无人知晓","132","9.1"
"133","神偷奶爸","133","8.6"
"134","上帝之城","134","8.9"
"135","怪兽电力公司","135","8.7"
"136","玩具总动员3","136","8.8"
"137","血战钢锯岭","137","8.7"
"138","电锯惊魂","138","8.7"
"139","岁月神偷","139","8.7"
"140","七武士","140","9.2"
"141","喜宴","141","8.9"
"142","谍影重重3","142","8.8"
"143","英雄本色","143","8.7"
"144","绿皮书","144","8.9"
"145","时空恋旅人","145","8.7"
"146","傲慢与偏见","146","8.6"
"147","完美的世界","147","9.1"
"148","疯狂原始人","148","8.7"
"149","萤火虫之墓","149","8.7"
"150","东邪西毒","150","8.6"
"151","爆裂鼓手","151","8.7"
"152","教父3","152","8.9"
"153","真爱至上","153","8.6"
"154","贫民窟的百万富翁","154","8.6"
"155","纵横四海","155","8.8"
"156","心迷宫","156","8.7"
"157","被解救的姜戈","157","8.7"
"158","记忆碎片","158","8.6"
"159","黑天鹅","159","8.5"
"160","三块广告牌","160","8.7"
"161","荒蛮故事","161","8.8"
"162","达拉斯买家俱乐部","162","8.8"
"163","哪吒闹海","163","9.0"
"164","花样年华","164","8.6"
"165","我是山姆","165","8.9"
"166","你的名字。","166","8.4"
"167","雨人","167","8.7"
"168","卢旺达饭店","168","8.9"
"169","头脑特工队","169","8.7"
"170","天书奇谭","170","9.2"
