"mnb_date","ccy_name","ccy_full_name","unit","mnb_rate"
"1",2019-12-02,"ATS","Austrian Schilling",1,NA
"2",2019-12-02,"AUD","Australian Dollar",1,205.42
"3",2019-12-02,"AUP","Australian Pound",1,NA
"4",2019-12-02,"BEF","Belgian Franc",100,NA
"5",2019-12-02,"BGL","Bulgarian Lev",100,NA
"6",2019-12-02,"BGN","Bulgarian Lev",1,170.49
"7",2019-12-02,"BRL","Brazilian real",1,71.45
"8",2019-12-02,"CAD","Canadian Dollar",1,227.81
"9",2019-12-02,"CHF","Swiss Franc",1,302.74
"10",2019-12-02,"CNY","Chinese yuan renminbi",1,42.99
"11",2019-12-02,"CSD","Serbian Dinar",1,NA
"12",2019-12-02,"CSK","Czechoslovakian Koruna",100,NA
"13",2019-12-02,"CYN","Chinese yuan",100,NA
"14",2019-12-02,"CZK","Czech Koruna",1,13.05
"15",2019-12-02,"DDM","DDR Mark",100,NA
"16",2019-12-02,"DEM","Deutsche Mark",1,NA
"17",2019-12-02,"DKK","Danish Krone",1,44.63
"18",2019-12-02,"EEK","Estonian kroon",1,NA
"19",2019-12-02,"EGP","Egyptian Pound",1,NA
"20",2019-12-02,"ESP","Spanish Peseta",100,NA
"21",2019-12-02,"EUR","Euro",1,333.44
"22",2019-12-02,"FIM","Finnish Markka",1,NA
"23",2019-12-02,"FRF","French Franc",1,NA
"24",2019-12-02,"GBP","Pound Sterling",1,390.83
"25",2019-12-02,"GHP","Ghana Pound",1,NA
"26",2019-12-02,"GRD","Greek Drachma",100,NA
"27",2019-12-02,"HKD","Hong Kong Dollar",1,38.67
"28",2019-12-02,"HRK","Croatian Kuna",1,44.82
"29",2019-12-02,"HUF","Hungarian forint",1,NA
"30",2019-12-02,"IDR","Indonesian Rupiah",100,2.14
"31",2019-12-02,"IEP","Irish Pound",1,NA
"32",2019-12-02,"ILS","Israeli Shekel",1,87.22
"33",2019-12-02,"INR","Indian Rupee",1,4.22
"34",2019-12-02,"ISK","Icelandic Krona",1,2.47
"35",2019-12-02,"ITL","Italian Lira",1000,NA
"36",2019-12-02,"JPY","Japanese Yen",100,276.07
"37",2019-12-02,"KPW","North Korean Won",100,NA
"38",2019-12-02,"KRW","South Korean Won",100,25.53
"39",2019-12-02,"KWD","Kuwaiti Dinar",1,NA
"40",2019-12-02,"LBP","Lebanese Pound",100,NA
"41",2019-12-02,"LTL","Lithuanian litas",1,NA
"42",2019-12-02,"LUF","Luxembourg Franc",100,NA
"43",2019-12-02,"LVL","Latvian lats",1,NA
"44",2019-12-02,"MNT","Mongolian Tugrik",100,NA
"45",2019-12-02,"MXN","Mexican Peso",1,15.47
"46",2019-12-02,"MYR","Malaysian Ringgit",1,72.42
"47",2019-12-02,"NLG","Netherlands Guilder",1,NA
"48",2019-12-02,"NOK","Norwegian Krone",1,32.89
"49",2019-12-02,"NZD","New Zealand Dollar",1,195.7
"50",2019-12-02,"OAL","Alban Lek",100,NA
"51",2019-12-02,"OBL","Bulgarian Lev",100,NA
"52",2019-12-02,"OFR","French Franc",100,NA
"53",2019-12-02,"ORB","Ruble",100,NA
"54",2019-12-02,"PHP","Philippine Peso",1,5.92
"55",2019-12-02,"PKR","Pakistan Rupee",100,NA
"56",2019-12-02,"PLN","Polish Zloty",1,77.49
"57",2019-12-02,"PTE","Portuguese Escudo",100,NA
"58",2019-12-02,"ROL","Romanian Leu",100,NA
"59",2019-12-02,"RON","Romanian New Leu",1,69.77
"60",2019-12-02,"RSD","Serbian Dinar",1,2.84
"61",2019-12-02,"RUB","Russian Rubel",1,4.71
"62",2019-12-02,"SDP","Sudanese pound",1,NA
"63",2019-12-02,"SEK","Swedish Krona",1,31.65
"64",2019-12-02,"SGD","Singapore Dollar",1,221.17
